"filename", "language", "Python", "Markdown", "CSV", "Django txt", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\CoursePlanModel_20220113232946.py", "Python", 0, 0, 0, 0, 0, 0, -12, -1, -13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\CoursePlanModel_20220114012837.py", "Python", -14, 0, 0, 0, 0, 0, -12, -2, -28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\CurriculaModel_20220113232107.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\CurriculaModel_20220113233109.py", "Python", 0, 0, 0, 0, 0, 0, -12, -1, -13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\CurriculaModel_20220114012844.py", "Python", -45, 0, 0, 0, 0, 0, -12, -3, -60
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\DepartmentModel_20220113232136.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\DepartmentModel_20220113233138.py", "Python", 0, 0, 0, 0, 0, 0, -12, -1, -13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\DepartmentModel_20220114012845.py", "Python", -24, 0, 0, 0, 0, 0, -12, -3, -39
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\EquipmentModel_20220113232158.py", "Python", 0, 0, 0, 0, 0, 0, -12, -1, -13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\EquipmentModel_20220114012851.py", "Python", -50, 0, 0, 0, 0, 0, -12, -5, -67
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\LocationModel_20220113232220.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\LocationModel_20220113233222.py", "Python", 0, 0, 0, 0, 0, 0, -12, -1, -13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\LocationModel_20220114012851.py", "Python", -14, 0, 0, 0, 0, 0, -12, -2, -28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\LocationModel_20220114015230.py", "Python", -59, 0, 0, 0, 0, 0, -12, -7, -78
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\MmxModel_20220113232245.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\MmxModel_20220113233247.py", "Python", 0, 0, 0, 0, 0, 0, -12, -1, -13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\MmxModel_20220114012858.py", "Python", -14, 0, 0, 0, 0, 0, -12, -2, -28
