"filename", "language", "Markdown", "Python", "pip requirements", "YAML", "HTML", "Properties", "Docker", "Ini", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocation.py", "Python", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 12, 31, 132
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocationExtension.py", "Python", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 179
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmx.py", "Python", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 136
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmxData.py", "Python", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 131
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelRunningAccount.py", "Python", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 181
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelSqlAlchemySession.py", "Python", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 12, 26, 123
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 12, 28, 129
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 12, 31, 131
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 164
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserExtension.py", "Python", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 123
